collaborator,event,year,month,day,group,url,note
MIT SOLE,,2026,5,27,,,
MIT Class of 2026,MIT 2026 Senior Ball,2026,5,24,,,
MIT Nritya,Tarang dance show,2026,5,1,,,
MIT Chancellor's Office,Postcard,2025,10,,,,
MIT Entrepreneurship Club,MIT Startup Career Fair,2026,2,11,,,
MIT Ring Committee 2028,Ring Premiere,2026,2,15,,,
MIT Ring Committee 2028,Brass Rat Study Break,2025,9,26,,,
MISTI,GO Fair,2025,10,6,,,
LOST,Moonchildren,2025,10,19,,,
Next Sing,,2025,12,12,,,
MIT Ring Committee 2027,Ring Delivery,2025,5,2,,,
The Chorallaries at MIT,,2025,5,9,,,
MIT Class of 2025,MIT 2025 Senior Ball,2025,5,21,,,
MISTI,MIT Class of 2029 MISTI poster,2025,8,,,,
East Campus,REX East Side Party,2025,8,26,,,
MIT Figure Skating Club,,2025,1,26,,,
MIT CSSA,,2025,1,28,,,
MIT Ring Committee 2027,Ring Premiere,2025,2,16,,,
MIT Federal Credit Union,,2025,2,26,,,
MIT Technique,,2025,3,5,,,
MIT Artfinity,Coloring with Wide Tim,2025,3,4,,,
MIT Openspace,Pie with Wide Tim,2025,3,14,,https://calendar.mit.edu/event/bright-spot-pie-with-wide-tim,
MIT SAAS,,2025,4,2,,,
MIT Flow,,2025,4,7,,,
MIT COOP,CPW 2025,2025,4,17,,,
MIT ISA,,2025,4,24,,,
MIT SEB,Springfest,2025,4,30,,,
MIT Ballroom Dance Team,,2024,9,2,,,
MIT Glass Lab,,2024,9,26,,,
MIT Ring Committee 2027,Brass Rat Study Break,2024,10,10,,,
MISTI,GO Fair,2024,10,21,,,
MIT COOP,Family Weekend,2024,10,,,,
MIT Microsystems Technology Laboratories,,2024,11,19,,,
Next Sing,,2024,12,8,,,
MIT Ohms,,2024,5,5,,,
MIT Ring Committee 2026,Ring Delivery,2024,5,5,,,
MIT DanceTroupe,,2024,5,9,,,
MIT Logarhythms,,2024,5,12,,,
The Tech,,2024,5,30,,,
MITAC,Promfestapalooza,2024,10,5,,https://calendar.mit.edu/event/promfestapalooza-2024,
MIT Intercultural Office,,2024,7,,,,
MIT Federal Credit Union,,2024,8,27,,,
MIT Health,,2024,1,,,,
MIT Battlecode,,2024,1,18,,,
MIT Blueprint,,2024,1,31,,,
MIT Ring Committee 2026,Ring Premiere,2024,2,10,,,
MIT SOLE,,2024,2,,,,
MIT Chancellor's Office,Postcard,2024,2,,,,
MIT Admissions Blogs,A Journey to the WIDE,2024,2,13,,https://mitadmissions.org/blogs/entry/a-journey-to-the-w-i-d-e/,
MIT Technique,,2024,2,29,,,
MITvote,,2024,3,5,,,
MIT Shakespeare Ensemble,A Midsummer Night's Dream,2024,3,11,,,
MIT Donor Relations and Stewardship Office,Infinite Possibilities,2024,4,,,,
MIT Admissions,FIRST Robotics,2024,4,,,,
MIT Mince,,2024,4,4,,,
MIT Banana Lounge,,2024,4,4,,,
MIT Openspace,Lunchbreak with Wide Tim,2024,4,10,,https://www.openspace.mit.edu/calendar/lunch-break-with-wide-tim,
Martin Trust Center,mural,2023,9,5,,,
MathPrize for Girls,,2023,9,,,,
MIT Banana Lounge,,2023,9,13,,,
MIT Class of 2024,Disorientation,2023,9,16,,,
MIT Beaver Press,,2023,10,12,,,
MIT Activities Committee,,2023,10,,,,
Next Haunt,,2023,10,16,,,
SaveTFP ,SpookySkates,2023,10,27,,,
MIT Concert Choir,,2023,10,27,,,
MIT Shakespeare Ensemble,,2023,11,3,,,
MIT Technology Licensing Office,,2023,11,,,,
MIT Symphony Orchestra,,2023,11,18,,,
MIT Logarhythms,,2023,12,3,,,
24.191,class poster,2026,1,,,,
24.191,class poster,2024,1,,,,
24.191,class poster,2025,1,,,,
MIT UA Innovation Committee,Craft Market,2023,12,10,,,
MIT Health,,2023,12,,,,
14.13,lecture,2023,5,4,,,
14.13,lecture,2024,4,,,,
14.13,lecture,2025,4,,,,
14.13,lecture,2026,4,,,,
Syncopasian,,2023,5,6,,,
MIT Awards Convocation,,2023,5,8,,,
MIT LIVE,,2023,5,11,,,
MIT DanceTroupe,,2023,5,14,,,
2.00b,Playsentation,2023,5,15,,,
MIT Class of 2023,Senior Sunset,2023,5,16,,,
MIT Press,poster,2023,6,,,,
MIT Panhellenic,Recruitment Registration,2023,7,1,,,
MIT Office of the First Year,,2023,8,26,,,
Arts at MIT,SAA IAP art classes ,2023,1,,,,
24.191,class poster,2023,1,,,,
@mitstudents,,2023,2,13,,,
MIT Ring Committee 2025,Ring Premiere,2023,2,25,,,
Africans@MIT,AKWAABA!,2023,2,27,,,
MIT Technology Review,The Beaver with the Infinite Smile,2023,2,,,https://www.technologyreview.com/2023/02/21/1067587/the-beaver-with-the-infinite-smile/,
MITSFS,Science Fiction Society Book Clean-out,2023,3,7,,,
MIT MHH,Kindness Week,2023,3,13,,,
MIT Department of Mathematics,,2023,3,14,,,
MIT Admissions,Regular Decision '27,2023,3,14,,,
MIT Shakespeare Ensemble,Julius Caesar,2023,3,18,,,
MIT VPR,,2023,4,5,,,
MIT Fixation,,2023,4,10,,,
Next Act,,2023,4,15,,,
MIT VGO,,2023,4,22,,,
MIT Office of the President,Pres. Kornbluth's Inaugural Fair,2023,4,29,,,
MIT Spinning Arts,REX Fire Spinning Show,2022,9,3,,,
MIT Museum,Museum Preview,2022,9,30,,,
MathPrize for Girls,,2022,10,8,,,
MIT Family Weekend,Family Weekend A Cappella Concert,2022,10,28,,,
East Campus,Pumpkin Drop,2022,10,31,,,
MITvote,,2022,11,8,,,
MIT ESP,Splash,2022,11,19,,,
MIT News,Spreading Joy with Wide Tim,2022,11,29,,https://news.mit.edu/2022/spreading-joy-with-wide-tim-1129,
MIT UA Innovation Committee,Craft Market,2022,12,2,,,
G@MIT,ELAGANZA Ball,2022,12,10,,,
2.009,Project Launch,2022,12,12,,,
MIT Admissions,MIT EA Decision,2022,12,14,,,
@mitpics,MIT Finals Season,2022,12,16,,,
MIT BSA,Pohela Boishakh,2022,5,3,,,
MIT Rambax,Concert,2022,5,7,,,
2.00b,Playsentation 2022,2022,5,9,,,
MIT Asian Dance Team,,2022,5,10,,,
MIT Commencement,,2022,5,28,,,
Rainbow Lounge,,2022,6,7,,,
First-Year Arts Program,,2022,8,23,,,
The Borderline @ MIT,,2021,12,,,,
East Campus,Bad Ideas Weekend,2022,1,22,,,
MIT Dance Dance Revolution,,2022,1,25,,,
MIT Lion Dance,,2022,4,16,,,
The Baker Foundation,Spirit Day,2022,4,22,,,
MIT SAAS,HOLI,2022,4,23,,,
MIT Admissions,MIT Class of 2028 poster,2023,12,,,,
MIT Admissions,CPW 2025,2026,4,16,,,
MIT Admissions,CPW 2025,2025,4,17,,,
MIT Admissions,CPW 2025,2024,4,11,,,
MIT Admissions,CPW 2025,2023,4,13,,,
MIT Admissions,CPW 2025,2022,4,7,,,
MIT Lion Dance,,2025,4,25,,,
MIT Welcome Center,Coloring with Wide Tim,2025,3,,,,
The Borderline @ MIT,the Storywall Mural,2021,9,,,,
MathPrize for Girls,,2024,9,,,,
MathPrize for Girls,,2025,10,11,,,
